State Alpha,Poll-D,Poll-R,Poll-Other
AL,0.3750,0.5650,0.0600
AK,0.4250,0.4950,0.0800
AZ,0.4762,0.4850,0.0388
AR,0.4000,0.5500,0.0500
CA,0.6025,0.3375,0.0600
CO,0.5350,0.4150,0.0500
CT,0.5300,0.3700,0.1000
DE,0.5500,0.3650,0.0850
FL,0.4563,0.5019,0.0418
GA,0.4760,0.4841,0.0399
HI,0.5700,0.3800,0.0500
ID,0.2600,0.5500,0.1900
IL,0.5900,0.4100,0.0000
IN,0.4100,0.5667,0.0233
IA,0.4400,0.4900,0.0700
KS,0.3100,0.4700,0.2200
KY,0.2600,0.5500,0.1900
LA,0.3800,0.5200,0.1000
ME-AL,0.5000,0.4100,0.0900
ME-1,0.5800,0.3200,0.1000
ME-2,0.4200,0.4900,0.0900
MD,0.6210,0.3330,0.0460
MA,0.6200,0.3267,0.0533
MI,0.4857,0.4724,0.0419
MN,0.4963,0.4383,0.0654
MS,0.3600,0.5400,0.1000
MO,0.4267,0.5333,0.0400
MT,0.3850,0.5750,0.0400
NE-AL,0.4000,0.5567,0.0433
NE-2,0.5225,0.4225,0.0550
NV,0.4829,0.4724,0.0447
NH,0.5250,0.4325,0.0425
NJ,0.5600,0.4400,0.0000
NM,0.4967,0.4167,0.0866
NY,0.5733,0.4100,0.0167
NC,0.4763,0.4839,0.0398
ND,0.3600,0.5450,0.0950
OH,0.4467,0.5225,0.0308
OK,0.4000,0.5600,0.0400
OR,0.4900,0.4400,0.0700
PA,0.4879,0.4778,0.0343
RI,0.5533,0.3967,0.0500
SC,0.4200,0.5200,0.0600
SD,0.3100,0.5000,0.1900
TN,0.3700,0.6300,0.0000
TX,0.4481,0.5150,0.0369
UT,0.3900,0.5400,0.0700
VT,0.7000,0.2900,0.0100
VA,0.5019,0.4206,0.0775
WA,0.5300,0.3200,0.1500
WV,0.3400,0.6100,0.0500
WI,0.4948,0.4762,0.0290
WY,0.1500,0.6800,0.1700
