State Alpha,Poll-D,Poll-R,Poll-Other
AL,0.3750,0.5650,0.0600
AK,0.4100,0.5300,0.0600
AZ,0.4275,0.4775,0.0950
AR,0.2400,0.5700,0.1900
CA,0.5475,0.3463,0.1063
CO,0.4800,0.4350,0.0850
CT,0.4900,0.4000,0.1100
FL,0.4200,0.4800,0.1000
GA,0.4633,0.5067,0.0300
ID,0.2600,0.5500,0.1900
IL,0.4900,0.3700,0.1400
IN,0.3400,0.5500,0.1100
IA,0.3300,0.4800,0.1900
KS,0.3700,0.5000,0.1300
KY,0.2600,0.5500,0.1900
LA,0.3600,0.5100,0.1300
ME-AL,0.3200,0.3800,0.3000
ME-1,0.3900,0.3100,0.3000
ME-2,0.2500,0.4500,0.3000
MD,0.5500,0.3200,0.1300
MA,0.5850,0.3400,0.0750
MI,0.4500,0.4800,0.0700
MN,0.4600,0.3900,0.1500
MS,0.3600,0.5400,0.1000
MO,0.3200,0.4900,0.1900
MT,0.3500,0.5600,0.0900
NE-AL,0.3500,0.5300,0.1200
NV,0.4000,0.4500,0.1500
NH,0.5200,0.4500,0.0300
NM,0.4800,0.3800,0.1400
NY,0.4800,0.3600,0.1600
NC,0.4200,0.4900,0.0900
ND,0.1700,0.5400,0.2900
OH,0.4025,0.5088,0.0888
OK,0.3000,0.5900,0.1100
OR,0.5100,0.3500,0.1400
PA,0.4450,0.4725,0.0825
RI,0.4900,0.3200,0.1900
SC,0.3700,0.5100,0.1200
SD,0.2600,0.5500,0.1900
TN,0.3400,0.5850,0.0750
TX,0.4200,0.4825,0.0975
UT,0.3750,0.4600,0.1650
VT,0.5850,0.2800,0.1350
VA,0.4750,0.4250,0.1000
WA,0.5400,0.3800,0.0800
WV,0.2300,0.5900,0.1800
WI,0.4100,0.4400,0.1500
WY,0.1500,0.6800,0.1700
