State Alpha,Poll-D,Poll-R,Poll-Other
AL,0.3750,0.5650,0.0600
AK,0.3600,0.5500,0.0900
AZ,0.4133,0.4761,0.1106
AR,0.2400,0.5700,0.1900
CA,0.5300,0.3150,0.1550
CO,0.5000,0.4000,0.1000
CT,0.4900,0.4000,0.1100
FL,0.4133,0.4700,0.1167
GA,0.4361,0.4736,0.0903
HI,0.5700,0.3800,0.0500
ID,0.2600,0.5500,0.1900
IL,0.4300,0.3400,0.2300
IN,0.3400,0.5500,0.1100
IA,0.3900,0.5100,0.1000
KS,0.3100,0.4700,0.2200
KY,0.2600,0.5500,0.1900
LA,0.3800,0.5200,0.1000
ME-AL,0.5100,0.4900,0.0000
ME-1,0.3900,0.3100,0.3000
ME-2,0.2500,0.4500,0.3000
MD,0.5600,0.3000,0.1400
MA,0.4700,0.2900,0.2400
MI,0.4295,0.4500,0.1205
MN,0.4700,0.4450,0.0850
MS,0.3600,0.5400,0.1000
MO,0.4300,0.5700,0.0000
MT,0.3550,0.5350,0.1100
NE-AL,0.3750,0.4700,0.1550
NE-2,0.4200,0.4200,0.1600
NV,0.4129,0.4764,0.1107
NH,0.4200,0.4400,0.1400
NJ,0.4000,0.4100,0.1900
NM,0.4900,0.4700,0.0400
NY,0.5200,0.4100,0.0700
NC,0.4310,0.4710,0.0980
ND,0.2800,0.6200,0.1000
OH,0.4100,0.5100,0.0800
OK,0.3000,0.6100,0.0900
OR,0.5200,0.4000,0.0800
PA,0.4355,0.4750,0.0895
RI,0.4000,0.3300,0.2700
SC,0.3700,0.5100,0.1200
SD,0.3100,0.5000,0.1900
TN,0.2800,0.5650,0.1550
TX,0.4150,0.5100,0.0750
UT,0.2500,0.5700,0.1800
VT,0.5850,0.2800,0.1350
VA,0.4495,0.4405,0.1100
WA,0.5000,0.3600,0.1400
WV,0.2800,0.5500,0.1700
WI,0.4450,0.4623,0.0927
WY,0.1500,0.6800,0.1700
