State Alpha,Year,Poll-D,Poll-R,Poll-Other,Result-D,Result-R,Result-Other
AL,2020,0.3790,0.5770,0.0440,0.3657,0.6203,0.0139
AK,2020,0.4370,0.5030,0.0600,0.4277,0.5283,0.0439
AZ,2020,0.4820,0.4630,0.0550,0.4936,0.4906,0.0158
AR,2020,0.3560,0.5960,0.0480,0.3478,0.6240,0.0283
CA,2020,0.6130,0.3190,0.0680,0.6348,0.3432,0.0219
CO,2020,0.5280,0.4080,0.0640,0.5540,0.4190,0.0271
CT,2020,0.5860,0.3240,0.0900,0.5926,0.3919,0.0155
DE,2020,0.5820,0.3510,0.0680,0.5874,0.3977,0.0148
DC,2020,0.9080,0.0580,0.0340,0.9215,0.0540,0.0245
FL,2020,0.4860,0.4650,0.0490,0.4786,0.5122,0.0092
GA,2020,0.4780,0.4770,0.0460,0.4947,0.4924,0.0128
HI,2020,0.6380,0.3060,0.0560,0.6373,0.3427,0.0200
ID,2020,0.3850,0.5660,0.0490,0.3307,0.6384,0.0309
IL,2020,0.5570,0.3840,0.0590,0.5754,0.4055,0.0191
IN,2020,0.4200,0.5290,0.0510,0.4096,0.5703,0.0200
IA,2020,0.4600,0.4770,0.0630,0.4489,0.5309,0.0202
KS,2020,0.4200,0.5280,0.0520,0.4151,0.5614,0.0235
KY,2020,0.4000,0.5630,0.0370,0.3615,0.6209,0.0176
LA,2020,0.3660,0.5710,0.0640,0.3985,0.5846,0.0169
ME-AL,2020,0.5260,0.4030,0.0720,0.5309,0.4402,0.0288
ME-1,2020,0.5725,0.3465,0.0810,0.6011,0.3702,0.0287
ME-2,2020,0.4555,0.4510,0.0935,0.4482,0.5226,0.0291
MD,2020,0.6110,0.3140,0.0740,0.6536,0.3215,0.0249
MA,2020,0.6450,0.2860,0.0680,0.6560,0.3214,0.0225
MI,2020,0.5040,0.4450,0.0510,0.5062,0.4784,0.0154
MN,2020,0.5050,0.4270,0.0680,0.5240,0.4528,0.0233
MS,2020,0.3980,0.5630,0.0390,0.4106,0.5760,0.0133
MO,2020,0.4370,0.5150,0.0490,0.4141,0.5680,0.0179
MT,2020,0.4510,0.5000,0.0490,0.4055,0.5692,0.0254
NE-AL,2020,0.4250,0.5210,0.0540,0.3917,0.5822,0.0261
NE-1,2020,0.4600,0.4800,0.0600,0.4109,0.5601,0.0290
NE-2,2020,0.5075,0.4525,0.0400,0.5195,0.4545,0.0259
NE-3,2020,0.2540,0.7250,0.0210,0.2234,0.7536,0.0230
NV,2020,0.4930,0.4500,0.0570,0.5006,0.4767,0.0228
NH,2020,0.5370,0.4260,0.0380,0.5271,0.4536,0.0194
NJ,2020,0.5650,0.3750,0.0600,0.5733,0.4140,0.0127
NM,2020,0.5370,0.4140,0.0490,0.5429,0.4350,0.0221
NY,2020,0.6100,0.3200,0.0710,0.6087,0.3774,0.0139
NC,2020,0.4810,0.4750,0.0440,0.4859,0.4993,0.0148
ND,2020,0.3840,0.5680,0.0480,0.3178,0.6512,0.0310
OH,2020,0.4660,0.4750,0.0590,0.4524,0.5327,0.0149
